frame, x, y
60, 138, 464
70, 462, 509
80, 800, 504
90, 1113, 480
100, 1133, 459
110, 1057, 410
120, 984, 356
130, 935, 285
140, 874, 246
150, 836, 247
160, 916, 285
170, 985, 319
180, 1040, 350
190, 1078, 369
200, 1053, 396
210, 1033, 375
220, 1010, 350
230, 777, 307
240, 575, 271
250, 529, 291
260, 547, 322
270, 584, 356
280, 644, 373
290, 679, 397
300, 732, 400
310, 661, 318
320, 621, 234
330, 577, 205
340, 567, 227
340, 571, 233
350, 370, 284
360, 442, 335
370, 526, 400
380, 333, 382
390, 251, 275
400, 215, 202
410, 184, 165
420, 215, 162
430, 246, 173
440, 317, 217
450, 407, 182
460, 501, 180
470, 601, 230
480, 706, 305
490, 807, 373
500, 928, 443
510, 1023, 439
520, 1077, 398
530, 1119, 348
540, 1125, 322
550, 1099, 331
560, 1065, 336
570, 1038, 321
580, 1042, 323
590, 1043, 331
600, 1032, 329
